DataSet,MMC,AUROC,FPR@95
MNIST,0.10000423341989517,-,-
FMNIST,0.10000208765268326,0.49471396,0.0
EMNIST,0.10000356286764145,0.4964552,0.0
GrayCIFAR10,0.10000086575746536,0.4969527,0.0
Noise,0.10000619292259216,0.36574775,0.0
Adv. Noise,0.10000781714916229,0.4923637,0.0
Adv. Sample,0.10000424087047577,0.49901962,0.0
Adv. Noise,0.10000710189342499,0.49706268,0.0
Adv. Sample,0.10000535100698471,0.49608424,0.0
Adv. Noise,0.10001351684331894,0.4833641,0.0
Adv. Sample,0.10000487416982651,0.49901962,0.0
Adv. Noise,0.10001333802938461,0.49510574,0.0
Adv. Sample,0.10000459849834442,0.48923495,0.0
Adv. Noise,0.1000148132443428,0.470644,0.0
Adv. Sample,0.10000471770763397,0.4970627,0.0
Adv. Noise,0.10001076757907867,0.4804287,0.0
Adv. Sample,0.10000452399253845,0.49901962,0.0
Adv. Noise,0.10000967979431152,0.46966553,0.0
Adv. Sample,0.10000443458557129,0.49901962,0.0
Adv. Noise,0.10001523792743683,0.45694542,0.0
Adv. Sample,0.10000444948673248,0.4970627,0.0
Adv. Noise,0.1000160351395607,0.4579239,0.0
Adv. Sample,0.100004181265831,0.48923495,0.0
Adv. Noise,0.10000979155302048,0.49804115,0.0
Adv. Sample,0.10000444948673248,0.49804118,0.0
Adv. Noise,0.10000685602426529,0.48140717,0.0
Adv. Sample,0.10000461339950562,0.49901962,0.0
Adv. Noise,0.10000906884670258,0.4804287,0.0
Adv. Sample,0.10000453889369965,0.49901962,0.0
Adv. Noise,0.100009024143219,0.47455788,0.0
Adv. Sample,0.10000445693731308,0.49901962,0.0
Adv. Noise,0.1000099778175354,0.47847176,0.0
Adv. Sample,0.10000450164079666,0.49608424,0.0
Adv. Noise,0.10000821948051453,0.48923492,0.0
Adv. Sample,0.10000453144311905,0.49804118,0.0
Adv. Noise,0.10001461952924728,0.47260094,0.0
Adv. Sample,0.10000455379486084,0.49804118,0.0
Adv. Noise,0.10000923275947571,0.4833641,0.0
Adv. Sample,0.10000444203615189,0.49901962,0.0
Adv. Noise,0.10001292824745178,0.43541908,0.0
Adv. Sample,0.10000429302453995,0.49901962,0.0
Adv. Noise,0.1000078022480011,0.48140717,0.0
Adv. Sample,0.10000456869602203,0.49901962,0.0
Adv. Noise,0.10002491623163223,0.42954826,0.0
Adv. Sample,0.10000456869602203,0.49901962,0.0
Adv. Noise,0.10002681612968445,0.3923664,0.0
Adv. Sample,0.10000429302453995,0.49901962,0.0
