DataSet,MMC,AUROC,FPR@95
MNIST,0.1000029519200325,-,-
FMNIST,0.10000201314687729,0.43920523,0.0
EMNIST,0.10000241547822952,0.40112182,0.0
GrayCIFAR10,0.10000087320804596,0.44409916,0.0
Noise,0.10000214725732803,0.17758127,0.0
Adv. Noise,0.1000203937292099,0.4347997,0.0
Adv. Sample,0.10000395774841309,0.42267978,0.0
Adv. Noise,0.10002315789461136,0.3918147,0.0
Adv. Sample,0.10000525414943695,0.41239142,0.0
Adv. Noise,0.1000434011220932,0.22720107,0.0
Adv. Sample,0.10000501573085785,0.418393,0.0
Adv. Noise,0.10005030781030655,0.19033448,0.0
Adv. Sample,0.10000499337911606,0.41496354,0.0
Adv. Noise,0.10006248950958252,0.103740856,0.0
Adv. Sample,0.10000850260257721,0.43554023,0.0
Adv. Noise,0.10006214678287506,0.14060746,0.0
Adv. Sample,0.10000336915254593,0.38066903,0.0
Adv. Noise,0.10004381090402603,0.19719338,0.0
Adv. Sample,0.1000078096985817,0.43639758,0.0
Adv. Noise,0.10007431358098984,0.08573623,0.0
Adv. Sample,0.10000418871641159,0.43639758,0.0
Adv. Noise,0.1000359058380127,0.28721648,0.0
Adv. Sample,0.10000325739383698,0.39610156,0.0
Adv. Noise,0.1000664234161377,0.14232218,0.0
Adv. Sample,0.10000474750995636,0.43639758,0.0
Adv. Noise,0.10004310309886932,0.23491734,0.0
Adv. Sample,0.10000297427177429,0.38324112,0.0
Adv. Noise,0.10004326701164246,0.24777777,0.0
Adv. Sample,0.10000421106815338,0.43725494,0.0
Adv. Noise,0.10002671182155609,0.33265668,0.0
Adv. Sample,0.10000640153884888,0.43639758,0.0
Adv. Noise,0.1000479981303215,0.25549406,0.0
Adv. Sample,0.10000486671924591,0.43725494,0.0
Adv. Noise,0.10004954785108566,0.22205693,0.0
Adv. Sample,0.1000044196844101,0.43725494,0.0
Adv. Noise,0.10010533034801483,0.04372548,0.0
Adv. Sample,0.1000048965215683,0.43725494,0.0
Adv. Noise,0.10007832199335098,0.086593606,0.0
Adv. Sample,0.10000540316104889,0.43725494,0.0
Adv. Noise,0.10004749149084091,0.24692042,0.0
Adv. Sample,0.1000070795416832,0.43725494,0.0
Adv. Noise,0.10007541626691818,0.09430986,0.0
Adv. Sample,0.10000781714916229,0.43725494,0.0
Adv. Noise,0.10008756816387177,0.083164155,0.0
Adv. Sample,0.1000058576464653,0.43725494,0.0
Adv. Noise,0.10009432584047318,0.06515953,0.0
Adv. Sample,0.10000581294298172,0.43725494,0.0
