DataSet,MMC,AUROC,FPR@95
MNIST,0.10000428557395935,-,-
FMNIST,0.1000005379319191,0.24059147,0.0
EMNIST,0.1000027284026146,0.3743855,0.0
GrayCIFAR10,0.09999813139438629,0.06746666,0.0
Noise,0.10000944137573242,0.49574172,0.0
Adv. Noise,0.10000878572463989,0.4952975,0.0
Adv. Sample,0.100004181265831,0.49316037,0.0
Adv. Noise,0.10001303255558014,0.42688587,0.0
Adv. Sample,0.10000709444284439,0.49608424,0.0
Adv. Noise,0.10001949965953827,0.4064187,0.0
Adv. Sample,0.10000525414943695,0.49608424,0.0
Adv. Noise,0.1000184640288353,0.42591122,0.0
Adv. Sample,0.10000758618116379,0.49510962,0.0
Adv. Noise,0.10003171861171722,0.2592503,0.0
Adv. Sample,0.10000507533550262,0.49608424,0.0
Adv. Noise,0.10001849383115768,0.27386966,0.0
Adv. Sample,0.10000568628311157,0.49510962,0.0
Adv. Noise,0.10002530366182327,0.10623417,0.0
Adv. Sample,0.10000555962324142,0.494135,0.0
Adv. Noise,0.1000152975320816,0.14814305,0.0
Adv. Sample,0.10000627487897873,0.49608424,0.0
Adv. Noise,0.10002525895833969,0.21344294,0.0
Adv. Sample,0.10000492632389069,0.494135,0.0
Adv. Noise,0.10002576559782028,0.2699712,0.0
Adv. Sample,0.10000474750995636,0.494135,0.0
Adv. Noise,0.10003355890512466,0.2933622,0.0
Adv. Sample,0.10000497102737427,0.49608424,0.0
Adv. Noise,0.10004721581935883,0.24560556,0.0
Adv. Sample,0.10000479221343994,0.49510962,0.0
Adv. Noise,0.1000121682882309,0.45904848,0.0
Adv. Sample,0.1000056117773056,0.49608424,0.0
Adv. Noise,0.10002265125513077,0.41616496,0.0
Adv. Sample,0.10000631213188171,0.494135,0.0
Adv. Noise,0.10007908195257187,0.09843712,0.0
Adv. Sample,0.10000553727149963,0.49608424,0.0
Adv. Noise,0.10006546974182129,0.122802734,0.0
Adv. Sample,0.10000864416360855,0.49608424,0.0
Adv. Noise,0.10005902498960495,0.18517877,0.0
Adv. Sample,0.10000535845756531,0.49510962,0.0
Adv. Noise,0.10006193816661835,0.17738177,0.0
Adv. Sample,0.10000927746295929,0.49510962,0.0
Adv. Noise,0.1000797227025032,0.020467142,0.0
Adv. Sample,0.1000080406665802,0.49510962,0.0
Adv. Noise,0.10007912665605545,0.047756616,0.0
Adv. Sample,0.10000619292259216,0.49608424,0.0
Adv. Noise,0.10007736831903458,0.029238753,0.0
Adv. Sample,0.10000841319561005,0.49510962,0.0
